2240,45.9
2250,47.7
2080,50.7
3,49.2
47,45.2
27000,47.3
69.7,42.9
530,46.8
5210,43.5
145,47.3
2100,46.4
460,51.3
35,43.3
2800,45.4
2,43.2
450,50
1500,44.5
586000,50.5
5210,50.1
10400,49.8
1920,47.6
12700,51
2200,47
105,50.5
72,46.1
13500,51.1
5210,51.4
318,51.3
110,50
89.2,45.6
255000,51.3
76900,49
18,46.1
95600,49.7
110,43.2
56400,48.9
4,48.5
110,50.7
2570,45.5
3110,45
3180,46.3
40000,42.3
105,46.8
84000,48.4
8950,46.9
12400,50
1920,47.2
72800,47.4
1800,41.6
100,46.3
177000,50.4
2240,48.1
2240,43.5
714,43.2
67.7,46.9
69.4,47.8
2700,47.2
1280,50.4
68900,47.1
110,50.8
88,45.3
2,51
2240,50.9
1900,45.8
45,41.8
8480,49.6
36300,42.1
3370,45.7
2150,50.1
120,52
2120,48.3
110,40.3
135000,48.7
100,45.3
3340,51.6
11900,43.3
1950,45.1
2250,46.9
54400,43.4
30000,49.6
695000,47.8
35000,41.7
4460,48.2
1890,50
52200,49.5
57600,45.6
174,43.7
110,43
4,45.4
1410,43.4
1230,44.6
190000,43.3
110,48.9
251000,48.7
57300,47.9
60300,43.7
58300,45.4
110,41.2
3300,48.7
184000,49.4
46,43.5
36,42.3
445000,50.8
5780,51
110,48.6
4280,46.3
90200,46
150,46.6
1230,44.7
1990,49
13200,50.5
165,49.5
234000,49.6
5230,49.3
1150,41.5
44100,43.8
2240,50.1
80,45.1
250,44.8
3000,49.1
1600,41.2
3740,49.4
1300,43.4
495,41.5
2220,43.2
950,49
89.4,52.3
74,42.6
3000,50.3
440,49.8
2240,50.5
2200,51.3
21100,48.3
2240,45.7
340,50.8
2400,47.6
2240,45.9
213000,51.4
69.6,43.9
160,51.3
6420,49.7
70,43
2240,44.9
1380,47.9
75,41.7
50000,50.5
1350,44.7
1700,45.1
3940,47.7
1510,45.6
64600,44.6
2240,48.6
213000,51.4
